    公司              代码      最新报告期   收入(亿)   利润(亿)     EPS         来源
600030 CN:STOCK:600030 2025-12-31  748.30  300.51       - pdf-parser
600036 CN:STOCK:600036 2025-12-31 3375.32 1501.81  5.9548 pdf-parser
600309 CN:STOCK:600309 2025-09-30 1442.26   91.57  2.9252 pdf-parser
600536 CN:STOCK:600536 2025-09-30   31.98   -1.04       - pdf-parser
601519 CN:STOCK:601519 2025-06-30    3.79   -0.03 -0.0017 pdf-parser
601919 CN:STOCK:601919 2025-09-30 1675.99  270.70  1.7476 pdf-parser
601998 CN:STOCK:601998 2025-12-31 2124.75  706.18  1.2691 pdf-parser
688008 CN:STOCK:688008 2025-12-31   40.58   21.50  1.8775 pdf-parser
